,date,latitude,longitude,species,total,habitat,year
0, 2000-07-29 ,78.55,25.4166666666667,bowhead whale,1,water,2000
1, 2000-08-08 ,79.1166666666667,21.4416666666667,bowhead whale,1,water,2000
2, 2000-08-16 ,78.917,24.05,bowhead whale,1,water,2000
3, 2001-08-08 ,79.268,20.858,bowhead whale,1,water,2001
4, 2005-08-06 ,78.932,11.922,bowhead whale,1,water,2005
5, 2006-04-17 ,80.27,0.68,bowhead whale,1,unknown,2006
6, 2006-04-25 ,81.03,1.15,bowhead whale,1,unknown,2006
7, 2006-04-26 ,81.12,1.6,bowhead whale,1,unknown,2006
8, 2006-04-26 ,81.04,1.16,bowhead whale,1,unknown,2006
9, 2006-04-28 ,81.18,1.76,bowhead whale,1,unknown,2006
10, 2006-07-19 ,78.244,15.565,bowhead whale,1,water,2006
11, 2006-07-21 ,78.1033333333333,13.9666666666667,bowhead whale,1,water,2006
12, 2006-07-30 ,79.581,20.849,bowhead whale,1,water,2006
13, 2006-07-30 ,79.581,20.849,bowhead whale,1,water,2006
14, 2007-08-22 ,79.523,17.879,bowhead whale,1,,2007
15, 2009-07-01 ,80.07,15.73,bowhead whale,1,water,2009
16, 2009-07-01 ,80.076,15.79,bowhead whale,1,water,2009
17, 2009-07-04 ,80.04,15.332,bowhead whale,1,water,2009
18, 2010-04-03 ,79.9,1.005,bowhead whale,1,unknown,2010
19, 2012-06-24 ,79.9307,13.4633,bowhead whale,1,unknown,2012
20, 2012-08-21 ,78.814,6.506,bowhead whale,1,water,2012
21, 2012-08-27 ,80.10167,16.01,bowhead whale,1,water,2012
22, 2012-09-03 ,79.25,5.02,bowhead whale,1,water,2012
23, 2013-06-14 ,76.291,8.291,bowhead whale,1,water,2013
24, 2013-06-14 ,76.168,8.324,bowhead whale,1,water,2013
25, 2013-06-14 ,76.466,8.018,bowhead whale,1,water,2013
26, 2013-07-26 ,79.268,10.069,bowhead whale,1,water,2013
27, 2015-06-09 ,77.28529834,0.86226594,bowhead whale,1,water,2015
28, 2015-06-09 ,77.0290778,5.15690091,bowhead whale,1,water,2015
29, 2015-06-09 ,77.13016461,2.61487307,bowhead whale,1,water,2015
30, 2015-06-09 ,77.10454279,3.4900856,bowhead whale,1,water,2015
31, 2015-08-02 ,81.3647833333333,15.7626833333333,bowhead whale,1,water,2015
32, 2015-08-14 ,80.148,27.892,bowhead whale,1,water,2015
33, 2015-08-24 ,81.775,21.2734,bowhead whale,1,water,2015
34, 2015-08-24 ,81.7562666666666,19.90555,bowhead whale,1,water,2015
35, 2016-06-05 ,76.96566272,4.58846246,bowhead whale,1,water,2016
36, 2016-06-05 ,76.9758687078,4.5634232842,bowhead whale,1,water,2016
37, 2016-06-05 ,76.96566272,4.58846246,bowhead whale,1,,2016
38, 2016-06-06 ,77.79809768,2.15746201,bowhead whale,1,water,2016
39, 2016-06-06 ,77.61424217,4.35552282,bowhead whale,1,,2016
40, 2016-06-06 ,77.79809768,2.15746201,bowhead whale,1,water,2016
41, 2016-06-06 ,77.79809768,2.15746201,bowhead whale,1,,2016
42, 2016-06-20 ,81.0,16.53,bowhead whale,1,,2016
43, 2016-06-22 ,80.7333333333333,21.8666666666666,bowhead whale,1,,2016
44, 2008-08-01 ,78.85096,33.69752,bowhead whale,1,water,2008
45, 2016-06-06 ,77.61234,4.34891,bowhead whale,1,water,2016
46, 2016-08-14 ,78.90094,20.92518,bowhead whale,1,,2016
47, 2016-08-14 ,78.90094,20.92518,bowhead whale,1,,2016
48, 2011-10-07 ,79.197,9.081,bowhead whale,2,unknown,2011
49, 2012-06-24 ,79.963,13.425,bowhead whale,2,water,2012
50, 2012-06-28 ,80.0,29.39,bowhead whale,2,water,2012
51, 2016-04-07 ,72.4166666666666,15.8833333333333,bowhead whale,2,,2016
52, 2016-06-06 ,77.70038944,4.94048681,bowhead whale,2,water,2016
53, 2016-06-06 ,77.7792939634,2.8728513727,bowhead whale,2,water,2016
54, 2016-06-06 ,77.73006733,3.04059341,bowhead whale,2,water,2016
55, 2016-06-06 ,77.6550746057,4.5657015174,bowhead whale,2,water,2016
56, 2016-06-06 ,77.70038944,4.94048681,bowhead whale,2,water,2016
57, 2016-06-06 ,77.73006733,3.04059341,bowhead whale,2,,2016
58, 2016-06-06 ,77.7792939634,2.8728513727,bowhead whale,2,water,2016
59, 2016-06-06 ,77.65417491,4.56100015,bowhead whale,2,,2016
60, 2016-06-06 ,77.6550746057,4.5657015174,bowhead whale,2,water,2016
61, 2016-06-06 ,77.73006733,3.04059341,bowhead whale,2,water,2016
62, 2016-06-06 ,77.70038944,4.94048681,bowhead whale,2,,2016
63, 2016-07-10 ,81.18,15.36,bowhead whale,2,,2016
64, 2008-07-31 ,78.64945,29.30327,bowhead whale,2,water,2008
65, 2006-04-26 ,81.31,2.3,bowhead whale,3,unknown,2006
66, 2006-04-28 ,81.35,1.53,bowhead whale,3,unknown,2006
67, 2011-09-07 ,78.775,8.792,bowhead whale,3,unknown,2011
68, 2012-06-08 ,80.37,13.27,bowhead whale,3,water,2012
69, 2015-06-08 ,76.85349518,5.07748264,bowhead whale,3,water,2015
70, 2015-08-29 ,81.7640666666666,19.9064166666666,bowhead whale,3,ice,2015
71, 2010-07-13 ,78.2416666666667,15.5416666666667,bowhead whale,4,unknown,2010
72, 2015-06-09 ,77.07825589,5.13780691,bowhead whale,4,water,2015
73, 2005-08-17 ,79.719,31.352,bowhead whale,5,water,2005
74, 2005-08-17 ,79.992,31.58,bowhead whale,5,water,2005
75, 2015-06-08 ,76.89330524,5.04959537,bowhead whale,5,water,2015
76, 2015-08-02 ,81.3991333333333,15.29725,bowhead whale,5,water,2015
77, 2016-06-06 ,77.70269,4.94135,bowhead whale,5,water,2016
78, 2015-06-09 ,77.01990868,5.16825936,bowhead whale,6,water,2015
79, 2006-04-18 ,80.58,2.09,bowhead whale,7,unknown,2006
80, 2009-06-30 ,79.0,0.0,bowhead whale,7,unknown,2009
81, 2015-06-08 ,76.88460297,5.02343022,bowhead whale,7,water,2015
82, 2015-06-08 ,76.95148555,5.12864859,bowhead whale,20,water,2015
83, 2015-06-09 ,76.9818985,5.16060781,bowhead whale,20,water,2015
84, 2015-06-08 ,73.56,5.08,bowhead whale,80,,2015
85, 1998-08-24 ,77.8333333333333,4.5,common minkie whale,1,,1998
86, 2000-08-14 ,77.624,13.492,common minkie whale,1,water,2000
87, 2002-05-19 ,74.7,13.1666666666667,common minkie whale,1,unknown,2002
88, 2002-05-19 ,74.7333333333333,8.15,common minkie whale,1,unknown,2002
89, 2002-08-27 ,76.4666666666667,23.1666666666667,common minkie whale,1,unknown,2002
90, 2002-08-27 ,76.1833333333333,21.4666666666667,common minkie whale,1,unknown,2002
91, 2002-08-28 ,76.3166666666667,10.25,common minkie whale,1,unknown,2002
92, 2002-08-28 ,76.3,10.5166666666667,common minkie whale,1,unknown,2002
93, 2002-08-28 ,76.3166666666667,10.4166666666667,common minkie whale,1,unknown,2002
94, 2002-08-28 ,76.3166666666667,10.2,common minkie whale,1,unknown,2002
95, 2002-08-28 ,76.3166666666667,10.1666666666667,common minkie whale,1,unknown,2002
96, 2002-08-29 ,76.3333333333333,4.15,common minkie whale,1,unknown,2002
97, 2002-08-29 ,76.3333333333333,5.86666666666667,common minkie whale,1,unknown,2002
98, 2002-08-29 ,76.3333333333333,7.98333333333333,common minkie whale,1,unknown,2002
99, 2002-08-29 ,76.4166666666667,5.48333333333333,common minkie whale,1,unknown,2002
100, 2002-08-29 ,76.3333333333333,5.86666666666667,common minkie whale,1,unknown,2002
101, 2002-08-29 ,76.3333333333333,8.06666666666667,common minkie whale,1,unknown,2002
102, 2002-08-30 ,77.3333333333333,11.2333333333333,common minkie whale,1,unknown,2002
103, 2002-08-31 ,79.85,10.6333333333333,common minkie whale,1,unknown,2002
104, 2002-08-31 ,79.6333333333333,10.05,common minkie whale,1,unknown,2002
105, 2002-08-31 ,79.6666666666667,6.55,common minkie whale,1,unknown,2002
106, 2002-08-31 ,78.6666666666667,10.0333333333333,common minkie whale,1,unknown,2002
107, 2002-08-31 ,79.9,10.2333333333333,common minkie whale,1,unknown,2002
108, 2002-08-31 ,79.65,6.38333333333333,common minkie whale,1,unknown,2002
109, 2002-08-31 ,79.9166666666667,10.8833333333333,common minkie whale,1,unknown,2002
110, 2002-08-31 ,79.8666666666667,10.7166666666667,common minkie whale,1,unknown,2002
111, 2002-08-31 ,79.6833333333333,6.73333333333333,common minkie whale,1,unknown,2002
112, 2002-08-31 ,79.9,10.5166666666667,common minkie whale,1,unknown,2002
113, 2002-08-31 ,79.9166666666667,10.5666666666667,common minkie whale,1,unknown,2002
114, 2002-09-01 ,78.3666666666667,7.6,common minkie whale,1,unknown,2002
115, 2002-09-01 ,78.3333333333333,5.33333333333333,common minkie whale,1,unknown,2002
116, 2002-09-01 ,78.4666666666667,7.4,common minkie whale,1,unknown,2002
117, 2002-09-01 ,78.3333333333333,5.23333333333333,common minkie whale,1,unknown,2002
118, 2002-09-01 ,78.2166666666667,7.86666666666667,common minkie whale,1,unknown,2002
119, 2002-09-01 ,78.0166666666667,8.28333333333333,common minkie whale,1,unknown,2002
120, 2002-09-01 ,78.4166666666667,6.55,common minkie whale,1,unknown,2002
121, 2002-09-01 ,77.85,7.8,common minkie whale,1,unknown,2002
122, 2002-09-01 ,78.3833333333333,7.6,common minkie whale,1,unknown,2002
123, 2002-09-05 ,74.15,11.6666666666667,common minkie whale,1,unknown,2002
124, 2003-06-25 ,72.8333333333333,6.61666666666667,common minkie whale,1,water,2003
125, 2003-07-02 ,79.9,10.7333333333333,common minkie whale,1,water,2003
126, 2003-07-08 ,79.3,11.619,common minkie whale,1,water,2003
127, 2003-07-08 ,79.1333333333333,11.6666666666667,common minkie whale,1,water,2003
128, 2003-07-09 ,79.7333333333333,11.05,common minkie whale,1,water,2003
129, 2003-07-11 ,75.0432,12.007,common minkie whale,1,water,2003
130, 2003-07-11 ,74.2411,17.1649,common minkie whale,1,water,2003
131, 2003-07-11 ,74.2862,17.2616,common minkie whale,1,water,2003
132, 2003-07-11 ,75.1555,11.2716,common minkie whale,1,water,2003
133, 2003-07-11 ,75.0292,12.0477,common minkie whale,1,water,2003
134, 2003-07-11 ,74.1562,17.004,common minkie whale,1,water,2003
135, 2003-07-17 ,74.3343,26.1522,common minkie whale,1,water,2003
136, 2003-07-17 ,74.1637,27.0513,common minkie whale,1,water,2003
137, 2003-07-20 ,76.1834,20.0454,common minkie whale,1,water,2003
138, 2003-07-20 ,76.1855,20.0367,common minkie whale,1,water,2003
139, 2003-07-20 ,76.2081,19.5422,common minkie whale,1,water,2003
140, 2003-07-20 ,76.3257,19.3557,common minkie whale,1,water,2003
141, 2003-07-20 ,76.1927,20.0069,common minkie whale,1,water,2003
142, 2003-07-21 ,76.4224,22.269,common minkie whale,1,water,2003
143, 2003-07-21 ,76.3445,20.0615,common minkie whale,1,water,2003
144, 2003-07-21 ,76.5341,26.5692,common minkie whale,1,water,2003
145, 2003-07-21 ,76.4196,22.2126,common minkie whale,1,water,2003
146, 2003-07-21 ,74.5817,10.1058,common minkie whale,1,water,2003
147, 2003-07-21 ,76.3805,21.081,common minkie whale,1,water,2003
148, 2003-07-21 ,74.0332,9.2321,common minkie whale,1,water,2003
